#Вопрос №1
=Ответ №1
=Ответ №2
-Ответ №3
-Ответ №4

_Вопрос №11
=Ответ №1

?Вопрос №7
=Ответ №1
=Ответ №2
=Ответ №3
=Ответ №4

*Вопрос №2
-Ответ №1
=Ответ №2
-Ответ №3
-Ответ №4

?Вопрос №8
=Ответ №2
=Ответ №1
=Ответ №4
=Ответ №3

#Вопрос №3
=Ответ №1
=Ответ №2
-Ответ №3
-Ответ №4

_Вопрос №10
=Ответ №1

*Вопрос №4
-Ответ №1
=Ответ №2
-Ответ №3
-Ответ №4

?Вопрос №9
=Ответ №2
=Ответ №1
=Ответ №4
=Ответ №3

#Вопрос №5
=Ответ №1
=Ответ №2
-Ответ №3
=Ответ №4

*Вопрос №6
-Ответ №1
-Ответ №2
=Ответ №3
-Ответ №4
